,folder,file,lines
26,MotorTrend Channel,Ignition FULL EPISODE - 2018 McLaren 720S- Faster than a P1 AND Porsche 918 Spyder-—Episode 189.txt,7
27,MotorTrend Channel,Tire Rack Hot Lap- Porsche GT3 RS.txt,2
28,MotorTrend Channel,2019 Aston Martin DBS Superleggera vs. 2020 Bentley Continental GT—Head 2 Head Preview Ep. 114.txt,3
29,Shea Whitney,5 BEST Designer Items UNDER $500! -unboxings-.txt,7
30,Shea Whitney,The BEST Items at the Nordstrom Anniversary Sale 2019! -sale is LIVE-.txt,6
31,Shea Whitney,TRIPLE Luxury Handbag Unboxing! -open with me-.txt,8
32,Shea Whitney,10 Amazon Products To MAKE YOUR LIFE EASIER!.txt,7
33,Shea Whitney,10 NEW _ BEST-SELLING Things to Buy at SEPHORA!.txt,7
34,Shea Whitney,Testing “BEST-SELLING” Items From Popular Stores - Worth the Hype-.txt,10
35,Shea Whitney,10 BEST-SELLING Clothes _ Shoes from Walmart! -must-haves-.txt,7
36,Shea Whitney,ICONIC HANDBAG UNBOXING! -finally bought it-.txt,4
37,Shea Whitney,My Entire Luxury Handbag Collection 2019 -best _ worst-.txt,13
38,TheReportOfTheWeek,Trying Burger King-s NEW Impossible Whopper!!.txt,6
39,TheReportOfTheWeek,McDonald-s NEW Spicy BBQ Chicken Sandwich Review!.txt,6
40,TheReportOfTheWeek,Pizza Hut-s NEW Smoky Sriracha Chicken Wings Review.txt,6
41,TheReportOfTheWeek,The McDonald-s Quarter Pounder Bacon Burger of my Dreams!.txt,8
42,TheReportOfTheWeek,Sonic Fried Oreos Review!.txt,5
43,TheReportOfTheWeek,Taco Bell-s NEW Toasted Cheddar Chalupa Review.txt,5
44,TheReportOfTheWeek,KFC-s NEW Kentucky Fried Wings Review.txt,6
45,TheReportOfTheWeek,McDonald-s McRib is BACK!.txt,5
46,TheReportOfTheWeek,Recovering With Papa John-s Garlic Parmesan Crust Pizza.txt,7
47,TheReportOfTheWeek,Popeyes NEW Voodoo Chicken Tenders Review.txt,5
48,Laura Lee,I TRIED THE KYLIE COSMETICS HOLIDAY 2019 COLLECTION . we had hits and misses.txt,13
49,Laura Lee,I BOUGHT A $100 EBAY MYSTERY MAKEUP BOX. was it worth it-.txt,7
50,Laura Lee,BIGGEST PR UNBOXING I EVER DONE. HUGE AMOUNT OF FREE MAKEUP.txt,13
51,Laura Lee,I BOUGHT THE MOST EXPENSIVE MAKEUP FROM ULTA!.txt,13
52,Laura Lee,"TESTING NEW VIRAL OVER HYPED MAKEUP! ABH, Colourpop, and MORE!.txt",12
53,Laura Lee,I TRIED A FULL FACE OF ESSENCE AFFORDABLE MAKEUP - HIT OR MISS-.txt,11
54,Laura Lee,NEW DRUGSTORE MAKEUP AT TARGET!! HIT OR MISS-.txt,11
55,Laura Lee,BEST AND WORST FOUNDATIONS FOR OILY SKIN - DRUGSTORE AND HIGH END..txt,18
56,Laura Lee,I TRIED A FULL FACE OF NEW ELF MAKEUP. HIT OR MISS-.txt,10
57,Laura Lee,I TRIED MAKEUP FROM URBAN OUTFITTERS . and it was interesting..txt,13
58,Johnathan Morrison,Exclusive - The 2019 Mac Pro Launch Review!.txt,9
59,Johnathan Morrison,iPhone 11 Pro Max Hands On!.txt,4
60,Johnathan Morrison,The Definitive iPhone XR Review.txt,8
61,Johnathan Morrison,Gold iPhone XS Max vs XS Unboxing + Comparison!(1).txt,6
62,Johnathan Morrison,Apple AirPods 2 vs Samsung Galaxy Buds!.txt,6
63,Johnathan Morrison,The Definitive Google Pixel 3 XL Review.txt,9
64,Johnathan Morrison,Google Pixel 3 vs iPhone XS vs OnePlus 6T vs Note 9 Camera Review!(1).txt,5
65,Johnathan Morrison,The BEST iPhone XR Accessories!.txt,4
66,Johnathan Morrison,The Apple Pro Display XDR is UNDERRATED..txt,5
67,Johnathan Morrison,All iPhone XR Colors Unboxing + Comparison(1).txt,6
68,TechSource,Another Cool Gaming Keyboard - RK918 Review.txt,4
69,TechSource,Cool PC Tech Under $50.txt,7
70,TechSource,"Unboxing $10,000 Worth of Tech! - EP40.txt",7
71,TechSource,Gaming on a 65 Inch Monitor! - OMEN X EMPERIUM 4K.txt,2
72,TechSource,$450 Budget Gaming PC - Ryzen 5 3400G.txt,5
73,TechSource,Acer Triton 500 - RTX 2060 (This is the one you want).txt,3
74,TechSource,A Simple $500 Budget Gaming PC for Beginners.txt,5
75,TechSource,The Best Budget 60_ RGB Keyboard just got better! - RK71 Review.txt,5
76,TechSource,The Best Budget 60_ RGB Keyboard - RK61 Review.txt,6
77,Dave Lee,Galaxy Note 10 - 💙💜❤️💛💚.txt,1
78,Dave Lee,ASUS ROG Phone 2 - ULTRA Fast!.txt,5
79,Dave Lee,What Makes The Pixel 4 Special-.txt,4
80,Dave Lee,Razer VIPER - Their Lightest Gaming Mouse!.txt,7
81,Dave Lee,Razer’s TINY Gaming Laptop.txt,5
82,Dave Lee,My AirPods Pro Review.txt,5
83,Dave Lee,I Found the Best Gaming Mouse.txt,3
84,Dave Lee,The 6-Core XPS 13.txt,3
85,Dave Lee,But Can Your iPhone 11 Do THIS-!! - The NEW Galaxy Fold.txt,5
86,Dave Lee,Lenovo Y540 - Pick the Right Gaming Laptop!.txt,1
87,FlavCity With Bobby Parrish,HUGE Coffee Creamer Review - Which Ones To Buy.txt,10
88,FlavCity With Bobby Parrish,Target Grocery Haul - Reviewing Target-s NEW Good _ Gather Line.txt,10
89,FlavCity With Bobby Parrish,"The BEST Tortillas At The Grocery Store - Wraps, Chips, Low Carb, _ More!.txt",14
90,FlavCity With Bobby Parrish,Every Nut Milk.txt,9
91,FlavCity With Bobby Parrish,The Best Lunch Meat To Buy At The Grocery Store...And What To Avoid! - English (auto.txt,10
92,FlavCity With Bobby Parrish,Top 20 Most Exciting New Items At Trader Joe_s...And We Got Kicked Out..AGAIN! - English (auto.txt,16
93,FlavCity With Bobby Parrish,Trader Joe-s Frozen Food Review - What to Buy _ Avoid!.txt,13
94,FlavCity With Bobby Parrish,Top 20 Healthy Snacks You Can Buy - Back To School Snack Review - English (auto.txt,13
95,FlavCity With Bobby Parrish,BIG Ice Cream Review At The Grocery Store - What To Buy And Avoid! - English (auto.txt,12
96,FlavCity With Bobby Parrish,Top 20 Keto Products At Walmart - Clean Keto Grocery Haul.txt,16
97,RegularCars,1962 Buick LeSabre- Regular Car Reviews.txt,7
98,RegularCars,1982 Mazda RX-7 FB- Regular Car Reviews.txt,6
99,RegularCars,2011 Volkswagen XL1- Regular Car Reviews.txt,5
100,RegularCars,1972 Datsun 240Z- Regular Car Reviews.txt,9
101,RegularCars,2009 Nissan R35 GT-R- Regular Car Reviews.txt,6
102,RegularCars,2001 Suzuki SV650- Regular Car Reviews.txt,6
103,RegularCars,1997 Toyota Tercel- Regular Car Reviews.txt,5
104,RegularCars,1974 Volkswagen Super Beetle 1600- Regular Car Reviews.txt,7
105,BULL1TRC,NIKE SNKRS CAN’T STOP ME! UNBOXING THE MOST ANTICIPATED SNEAKERS OF 2019! MAJOR HEAT ALERT!.txt,8
106,BULL1TRC,THE #1 AFFORDABLE SNEAKER FOR $110 YOU’RE STILL SLEEPING ON- (FALL-WINTER 2019) EARLY LOOK!.txt,5
107,BULL1TRC,WEEKLY SNEAKER ROTATION ON FEET #43 WE GOT HEAT! What I Wore Ft. NIKE _ ADIDAS #NUMEROCUARENTAYTRES.txt,9
108,BULL1TRC,UNBOXING ONE OF THE CRAZIEST SNEAKERS OF 2019! MAJOR HEAT.txt,10
109,BULL1TRC,"UNBOXING A TON OF DOPE SH!T! MAJOR HEAT _ EARLY SNEAKERS! ADIDAS, VINTAGE _ - FALL STREETWEAR HAUL!.txt",14
110,BULL1TRC,WORTH $160- AIR JORDAN 1 FEARLESS REVIEW _ ON FEET! EARLY LOOK!.txt,5
111,BULL1TRC,UNBOXING ONE OF THE CRAZIEST SNEAKERS OF 2019 EARLY! MAJOR HEAT _ CUSTOM NIKES! DON’T SLEEP!.txt,11
112,BULL1TRC,TOP 10 BACK TO SCHOOL SNEAKERS UNDER $100 - English (auto.txt,12
113,BULL1TRC,UNBOXING ONE OF THE BEST BACK TO SCHOOL SNEAKERS FOR $110! 1 OF 8 EXCLUSIVE UNBOXING FROM FOOTLOCKER.txt,5
114,BULL1TRC,WORTH $225!_ REFLECTIONS OF A CHAMPION AIR JORDAN 6 ON FEET REVIEW! - English (auto.txt,5
115,Jeremy Jahns,Terminator_ Dark Fate - Movie Review - English (auto.txt,4
116,Jeremy Jahns,Ford v Ferrari - Movie Review - English (auto.txt,5
117,Jeremy Jahns,Countdown - Movie Review - English (auto.txt,4
118,Jeremy Jahns,Gemini Man - Movie Review - English (auto.txt,4
119,Jeremy Jahns,El Camino_ A Breaking Bad Movie - Movie Review - English (auto.txt,5
120,Jeremy Jahns,Joker - Movie Review - English (auto.txt,4
121,Jeremy Jahns,Doctor Sleep - Movie Review.txt,3
122,Jeremy Jahns,Zombieland_ Double Tap - Movie Review - English (auto.txt,4
123,Jeremy Jahns,Rambo_ Last Blood - Movie Review - English (auto.txt,4
124,Wear Testers,Nike LeBron 17 Performance Review.txt,1
125,Wear Testers,Nike Kyrie 6 Performance Review.txt,10
126,Wear Testers,Nike Kobe AD NXT FastFit Performance Review.txt,11
127,Wear Testers,adidas Harden Vol 4 Performance Review.txt,9
128,Wear Testers,ANTA KT 5 Performance Review.txt,9
129,Wear Testers,Nike Joyride Run Flyknit Performance Review.txt,9
130,Wear Testers,Under Armour Curry 7 Performance Review.txt,10
131,Wear Testers,Nike Zoom Rize Performance Review.txt,10
132,Wear Testers,Air Jordan 12 -FIBA- Review.txt,9
133,Wear Testers,PUMA Clyde Hardwood Performance Review.txt,9
134,Doug DeMuro,Here-s Why the Infiniti Q50 Red Sport 400 Could Be Better.txt,14
135,Doug DeMuro,The 2020 Hyundai Palisade Is a Bargain Luxury SUV.txt,17
136,Doug DeMuro,The Lancia Delta Integrale Is the Greatest Hot Hatch Ever Made.txt,16
137,Doug DeMuro,Here-s Why the 2020 Subaru Outback Is America-s Favorite Wagon.txt,16
138,Doug DeMuro,Here-s Why the $2 Million McLaren P1 Is the Ultimate Modern McLaren.txt,25
139,Doug DeMuro,The 2020 Audi R8 Is Still an Amazing Supercar.txt,15
140,Doug DeMuro,The 2020 Mercedes GLS Is an Ultra-Luxury Family SUV.txt,18
141,Doug DeMuro,"The Original Audi TT Is an Underrated, Beautiful Car.txt",17
142,Doug DeMuro,The 2020 Porsche 911 992 Is the Newest Version of an Icon(1).txt,20
143,Doug DeMuro,The 2020 Porsche 911 992 Is the Newest Version of an Icon.txt,20
144,Hyram,The Truth About Dermalogica - English (auto.txt,10
145,Hyram,My Top Skin Care Brands of All Time!.txt,9
146,Hyram,The Truth About The Ordinary.txt,13
147,Hyram,Primera Skin Care- Worth It-.txt,11
148,Hyram,The Truth About Pixi Skin Care.txt,11
149,Hyram,The Best Korean Skin Care for OILY Skin - YesStyle.txt,10
150,Hyram,The Truth About Glossier Skin Care - English (auto.txt,12
151,Hyram,The Truth About Fourth Ray Beauty.txt,10
152,Hyram,The Truth About Krave Beauty.txt,13
153,Hyram,The Truth About Dr. Jart.txt,10
154,Dope or Nope,Buying _ Trying Every Vat19 Mystery Box!.txt,2
155,Dope or Nope,10 Amazing Kid Toys Adults Use for Themselves!.txt,16
156,Dope or Nope,Trying 10 Army Foods VS Gourmet Foods!.txt,15
157,Dope or Nope,We Bought EVERYTHING Amazon Auto-Complete Told Us To!.txt,14
158,Dope or Nope,Unboxing Cheap vs Expensive Products from Five Below!.txt,14
159,Dope or Nope,10 of The Strangest Amazon Products Under $10!.txt,15
160,Dope or Nope,Unboxing 10 Customized Products We Bought Online!.txt,14
161,Dope or Nope,Unboxing a Mystery APOCALYPTIC Crate!.txt,13
162,Dope or Nope,10 Products That Prove You Have Money To Waste!.txt,16
163,Dope or Nope,Unboxing 10 Products That Our Fans Told Us To Buy!.txt,13
164,Linus Tech Tips,The iPhone 11 Pro Max is great.txt,9
165,Linus Tech Tips,AMD is Making Laptops Affordable.txt,5
166,Linus Tech Tips,The BEST Keyboards Under $75!.txt,8
167,Linus Tech Tips,64 Core EPYC CPU – HOLY $H!T.txt,10
168,Linus Tech Tips,Amazon vs Walmart Budget Tablet Showdown! - ONN Tablet.txt,6
169,Linus Tech Tips,Could This Be My New Laptop- - ThinkPad X390 Review.txt,5
170,Linus Tech Tips,The SMALLEST No-Compromises Laptop - GPD P2 Max Ultrabook.txt,9
171,Linus Tech Tips,The Craziest 17 inch Laptop! - LG Gram 17 Review.txt,5
172,Linus Tech Tips,Porsche Made a LAPTOP-- – Book One Review.txt,4
173,Linus Tech Tips,Intel Could Take YEARS to Catch Up… - Ryzen 9 3950X Review.txt,6
174,Redline Reviews,"The 2019 WRX STI S209 is the MOST Powerful, Rare, and Expensive Subaru Ever Made.txt",22
175,Redline Reviews,Is the 2020 Kia Stinger GTS the Ultimate Stinger You Can Buy-.txt,16
176,Redline Reviews,The 2019 Mercedes-AMG G63 is the SUV Embodiment of Gluttony.txt,17
177,Redline Reviews,The 2019 Mercedes-Benz A220 is a Baby Benz Worthy of the 3-Pointed Star.txt,26
178,Redline Reviews,The 2020 Ford Mustang Shelby GT500 Would Make Carroll Shelby Proud.txt,9
179,Redline Reviews,2020 Rolls-Royce Cullinan Black Badge – Redline- First Look.txt,6
180,Redline Reviews,Does AWD and a Facelift Make The 2019 Toyota Prius More Appealing-.txt,21
181,Redline Reviews,Are the Changes to the 2020 Honda Civic Si Enough to Make it a Baby Type R-.txt,16
182,Redline Reviews,Is the 2020 Volvo XC90 T8 Still the Most Elegant Luxury SUV-.txt,18
183,Redline Reviews,The 2020 Dodge Charger Hellcat Widebody is an Insane 707 HP 4-Door Muscle Car.txt,17
184,TheStraightPipes,2020 BMW M850i Gran Coupe Review - Is a 4 Door Coupe Really a Coupe-.txt,10
185,TheStraightPipes,2010 Mk6 VW GTI Review - The BEST Used Car-.txt,12
186,TheStraightPipes,1999 Plymouth Prowler Review.txt,12
187,TheStraightPipes,2020 Lincoln Aviator Review - American Luxury Done Right.txt,13
188,TheStraightPipes,2020 BMW X4M Competition Review - Track Monster.txt,9
189,TheStraightPipes,2020 Tesla Model 3 Performance Review with @Engineering Explained.txt,18
190,TheStraightPipes,2020 Porsche Macan S Review - The Sweet Spot.txt,11
191,TheStraightPipes,2019 Mazda MX-5 Miata 30th Anniversary Edition Review - Limited Worldwide!.txt,9
192,TheStraightPipes,The Lexus GS F is a Reliable V8 Burnout Machine.txt,11
193,Mia Maples,TRYING SWIMSUITS FROM WALMART - I am impressssseddd!!!.txt,13
194,Mia Maples,Reviewing Shane Dawson’s NEW Merch Line !!.txt,10
195,Mia Maples,Huge £5 SHOE HAUL!! VERY hit _ miss!!.txt,15
196,Mia Maples,Testing Interesting Back to School Supplies FROM WISH!!.txt,19
197,Mia Maples,UNBOXING WIG MYSTERY BOXES!! - Whaaaaat--. I-m Excited.txt,11
198,Mia Maples,Unboxing Jeffree Star Mystery Boxes!! AGAIN. _ Late again!!.txt,10
199,Mia Maples,TRYING DOLLSKILL HALLOWEEN COSTUMES . it got weird again !!.txt,14
200,Mia Maples,TRYING AFFORDABLE WIGS FROM AMAZON. I-m Impressed !!.txt,22
201,Mia Maples,Unboxing Jeffree Star Mystery Boxes!! AND. doing my makeup w- what I got !!.txt,15
202,Mia Maples,I Spent Too Much $$$ on Nasty Gal. AND IT WAS WORTH IT!!.txt,17
203,Seth Fowler,OFF WHITE Nike Vapor Street REVIEW _ On Feet.txt,6
204,Seth Fowler,IS IT WORTH $800- Balenciaga Speed Trainer REVIEW _ On Feet.txt,7
205,Seth Fowler,Air Jordan 1 Fearless Review _ On Feet.txt,6
206,Seth Fowler,Air Jordan 11 Bred 2019 REVIEW _ On Feet.txt,9
207,Seth Fowler,Adidas YEEZY 500 Soft Vision Review _ On Feet.txt,5
208,Seth Fowler,Adidas ULTRABOOST 20 Review _ On Feet.txt,9
209,Seth Fowler,Nike KYRIE 6 UNBOXING _ Initial REVIEW.txt,8
210,Marques Brownlee,Apple Watch Series 4 Review- It-s About Time!.txt,7
211,Marques Brownlee,AirPods Pro Review- Imperfectly Perfect!.txt,6
212,Marques Brownlee,16 MacBook Pro Review- Now Do It Again!.txt,8
213,Marques Brownlee,16 Macbook Pro First Impressions!.txt,5
214,Marques Brownlee,OnePlus 7T Pro- Tiny Tweaks to Excellence!.txt,5
215,Marques Brownlee,The 108-Megapixel Smartphone Camera-!.txt,7
216,Marques Brownlee,"OnePlus 6T Review- New Design, Same Price!.txt",6
217,Marques Brownlee,iPhone 11 Pro Impressions- What a Name!.txt,6
218,Marques Brownlee,Beats Solo Pro- Return to Excellence!.txt,5
219,Marques Brownlee,Google Pixel 3 XL Review- The Shadow of the Notch!.txt,11
220,Marques Brownlee,Asus ROG Phone 2 Review- The Spec King!.txt,8
221,CNET,Motorola Razr first look- A foldable and flip phone in one.txt,9
222,CNET,Snap Spectacles 3 review- $380 sunglasses ready for AR.txt,4
223,CNET,LG G8X review- $700 dual-screen phone takes aim at foldable phones.txt,2
224,CNET,iPhone 11 and 11 Pro review- 2 months later.txt,7
225,CNET,Google Stadia is FINALLY here- hands-on first impressions.txt,5
226,CNET,Apple-s new 16-inch MacBook Pro- hands-on first impressions.txt,6
227,CNET,Pixel 4 vs. OnePlus 7T.txt,9
228,CNET,Motorola Razr vs Galaxy Fold- Full comparison.txt,8
229,CNET,Amazon Echo Show 8 review- Alexa is getting even better.txt,5
230,CNET,AirPods Pro vs. Amazon Echo Buds.txt,7
231,Android Authority,Huawei P30 Pro review- The phone that sees in the dark..txt,7
232,Android Authority,Realme 3 Pro Review- Xiaomi Should Be Worried.txt,5
233,Android Authority,Asus Zenfone 6 Review- Flip the switch!.txt,4
234,Android Authority,Oppo Reno 10x Zoom Edition review- A serious Huawei P30 Pro rival.txt,4
235,Android Authority,Asus Zenfone 6 Camera Review (Camera 3-60 Episode 8).txt,3
236,Android Authority,Honor 20 Pro review- Everyday luxury.txt,5
237,Android Authority,Asus Zenfone 6 Review- Flip the switch!(1).txt,4
238,Android Authority,Huawei-s Kirin 990 can do WHAT-.txt,3
239,Android Authority,Galaxy Note 10 Plus review- Not the Note you know.txt,6
240,Android Authority,OnePlus 7 Pro camera review (Camera 3-60 episode 7).txt,3
241,KathleenLights,AUGUST FAVORITES - 2019.txt,19
242,KathleenLights,SEPTEMBER FAVORITES - 2019.txt,17
243,KathleenLights,COLOURPOP-S Best Launch Yet-! -new- Pretty Fresh Collection.txt,14
244,KathleenLights,NOVEMBER BOXYCHARM UNBOXING _ 2019 (Try on- First Impressions) - English (auto.txt,8
245,KathleenLights,OCTOBER FAVORITES - 2019 - best makeup of the month!.txt,16
246,KathleenLights,TRYING NEW ANASTASIA MAKEUP _ Foundation Wear Test Jackie Aina Palette!!!!!!! - English (auto.txt,8
247,KathleenLights,FULL FACE OF THE MOST EXPENSIVE MAKEUP AT SEPHORA $$$.txt,18
248,KathleenLights,NOVEMBER BOXYCHARM UNBOXING - 2019 (Try on- First Impressions).txt,8
249,KathleenLights,THIS TATI BEAUTY PALETTE . OMG!!.txt,10
250,KathleenLights,PRODUCTS I USED UP + Would I Repurchase.-! hits + misses - EMPTIES.txt,9
251,TheNeedleDrop,Lightning Bolt - Sonic Citadel ALBUM REVIEW.txt,6
252,TheNeedleDrop,Kanye West - Jesus Is King ALBUM REVIEW.txt,9
253,TheNeedleDrop,Caroline Polachek - Pang ALBUM REVIEW.txt,5
254,TheNeedleDrop,Michael Kiwanuka - Kiwanuka ALBUM REVIEW.txt,6
255,TheNeedleDrop,Anamanaguchi - [USA] ALBUM REVIEW.txt,6
256,TheNeedleDrop,Westside Gunn - HWH7 MIXTAPE REVIEW.txt,7
257,TheNeedleDrop,FKA twigs - Magdalene ALBUM REVIEW.txt,6
258,TheNeedleDrop,Gang Starr - One of the Best Yet ALBUM REVIEW.txt,7
259,Jacques Slade,UNBOXING- Nike KOBE IV Carpe Diem.txt,6
260,Jacques Slade,The New Balance 801 Herschel Collab is Next LEVEL.txt,8
261,Jacques Slade,Hands On- Nike Air Zoom Freak 1.txt,8
262,Jacques Slade,LUXURY LIFE- RICK ROSS X WOW LIMITED EDITION SNEAKERS.txt,7
263,Jacques Slade,FIRST LOOK- NIKE JOYRIDE FLYKNIT Review.txt,5
264,Jacques Slade,UNBOXING- LeBron-s High School SNEAKER.txt,4
265,Jacques Slade,UNBOXING- Super LIMITED Air Jordan 1 Designed by Michael Jordan (1 of 300).txt,6
266,Jacques Slade,UNBOXING- AIR JORDAN 1 Travis Scott SNEAKER Review.txt,8
267,Jacques Slade,FIRST LOOK- Air JORDAN 6 x PSG COLLABORATION.txt,6
268,Austin Evans,The BEST Game Controller 🎮.txt,10
269,Austin Evans,The Ultimate 2019 iPad Comparison.txt,12
270,Austin Evans,Is the 2019 Razer Blade Worth It-.txt,4
271,Austin Evans,RAZR- The Folding Phone You ACTUALLY Want.txt,4
272,Austin Evans,The ALL AMD Gaming Laptop.txt,4
273,Austin Evans,iPhone 11 Review - Buy this one..txt,9
274,Austin Evans,The $1000 Camera Challenge.txt,7
275,Austin Evans,Redmi Note 7 - The New Value King.txt,6
276,Austin Evans,OnePlus 7T Review - Shut up and take my MONEY.txt,10
277,Austin Evans,Is the OnePlus 7 Pro Worth It-.txt,7
278,Pocket Now,The ASUS Zenfone 6 is just a joy!.txt,6
279,Pocket Now,OnePlus 7 Pro After One Month - The phone you WANT-!(1).txt,7
280,Pocket Now,Google Pixelbook Go Review- The Almost PERFECT Chromebook-!.txt,1
281,Pocket Now,Samsung Galaxy Fold Review- The Future is ALMOST here-!.txt,9
282,Pocket Now,Honor 9X- 5 Great Features!.txt,4
283,Pocket Now,Huawei Mate 30 Pro with TWO 40 Megapixel Cameras-!(1).txt,4
284,Pocket Now,The Samsung Galaxy Fold Is Awesome!.txt,4
285,Pocket Now,Xiaomi Mi 9 Review- Quietly solid.txt,5
286,Pocket Now,AirPods Pro First Impressions!.txt,6
287,Pocket Now,Let-s revisit the HONOR View20.txt,6
288,UrAverageConsumer,OnePlus 7 Pro Review - REAL Day in the Life!.txt,10
289,UrAverageConsumer,Giant Surface Studio 2 Unboxing + Desk Setup!.txt,4
290,UrAverageConsumer,iPhone XS Smart Battery Case - The Good _ The Bad.txt,7
291,UrAverageConsumer,The Ultimate UAC PS4 Pro!.txt,3
292,UrAverageConsumer,NEW PowerBeats Pro Unboxing - Better than AirPods-.txt,6
293,UrAverageConsumer,Trying the NEW Xbox Elite Controller S2 + Project Scarlett Details!.txt,4
294,UrAverageConsumer,Samsung Galaxy S10e - The Good _ The Bad.txt,9
295,UrAverageConsumer,AirPods 2 (2019)- The Perfect AirPods-.txt,5
296,UrAverageConsumer,OnePlus 7 Pro - Unboxing + Best Features!.txt,6
297,Chris Stuckmann,Knives Out - Movie Review.txt,5
298,Chris Stuckmann,Gemini Man - Movie Review.txt,6
299,Chris Stuckmann,Countdown - Movie Review.txt,6
300,Chris Stuckmann,The Irishman - Movie Review.txt,6
301,Chris Stuckmann,Parasite - Movie Review.txt,4
302,Chris Stuckmann,Official Secrets - Movie Review.txt,5
303,Chris Stuckmann,The Omen - Movie Review.txt,5
304,Chris Stuckmann,Playing with Fire - Movie Review.txt,7
305,Chris Stuckmann,Charlie-s Angels - Movie Review.txt,4
306,Chris Stuckmann,Frozen II - Movie Review.txt,4
307,AngryJoeShow,Terminator- Dark Fate - Angry Review [NO-Spoilers!].txt,14
308,AngryJoeShow,The Mandalorian Episode 2 - Angry Review.txt,27
309,AngryJoeShow,The Mandalorian Episode 1 - Angry Review.txt,23
310,AngryJoeShow,Call of Duty- Modern Warfare Angry Review.txt,11
311,AngryJoeShow,Death Stranding Angry Review.txt,9
312,AngryJoeShow,Ghost Recon Breakpoint Angry Review.txt,12
313,AngryJoeShow,Doctor Sleep Angry Movie Review.txt,23
314,AngryJoeShow,MediEvil (2019) Rapid Fire Review.txt,6
315,AngryJoeShow,Midway Angry Movie Review.txt,17
316,AngryJoeShow,Planet Zoo Rapid Fire Review.txt,9
317,Unbox Therapy,Unboxing The Enormous New Razer Blade.txt,4
318,Unbox Therapy,The World-s First Dual-Screen Gaming Laptop.txt,4
319,Unbox Therapy,Unboxing The Waterfall Smartphone.txt,2
320,Unbox Therapy,Bose 700 Headphones - Are They The Best-.txt,7
321,Unbox Therapy,OnePlus 7 Pro Is The Best Smartphone Overall.txt,6
322,Unbox Therapy,The Sony WF-1000XM3 Just Changed The Game.txt,6
323,Unbox Therapy,Samsung Galaxy Fold Unboxing.txt,7
324,Unbox Therapy,The Most Powerful Smartphone In The World.txt,11
325,Unbox Therapy,The Redmi K20 Pro Is The New Value Champion.txt,7
326,Unbox Therapy,Unboxing The New Samsung Galaxy Fold.txt,4
327,Gameranx,Grid - Before You Buy.txt,6
328,Gameranx,Top 20 NEW Sci-fi Games of 2019.txt,15
329,Gameranx,Pokemon Sword-Shield - Before You Buy.txt,7
330,Gameranx,Star Wars Jedi- Fallen Order - Before You Buy.txt,8
331,Gameranx,The Outer Worlds - Before You Buy.txt,8
332,Gameranx,Top 25 NEW PC Exclusive Games of 2019.txt,11
333,Gameranx,Witcher 3 SWITCH - Before You Buy.txt,4
334,Gameranx,Top 15 NEW FREE Games of 2019.txt,10
335,Gameranx,Death Stranding - Before You Buy.txt,6
336,Flossy Carter,Red Magic 3S - This Gaming Phone Is a BEAST!.txt,14
